go_term,go_term_label,method_count,method_total,term_total,total_annotations,fold_enrichment,p_value,p_adjusted,method_name
GO:0055040,periplasmic flagellum,2,342162,2,7890361,23.060307690509177,0.001880479443197562,0.00224444320639709,UniProt Subcellular
GO:0044175,host cell endosome membrane,2,342162,2,7890361,23.060307690509177,0.001880479443197562,0.00224444320639709,UniProt Subcellular
GO:0020002,host cell plasma membrane,21,342162,21,7890361,23.060307690509173,2.3965028780550477e-29,4.666874025686146e-29,UniProt Subcellular
GO:0005765,lysosomal membrane,17,342162,17,7890361,23.060307690509173,6.778415727917384e-24,1.254006909664716e-23,UniProt Subcellular
GO:0005774,vacuolar membrane,6,342162,6,7890361,23.060307690509173,6.6495338303769294e-09,1.0697076161910713e-08,UniProt Subcellular
GO:0045121,membrane raft,290,342162,290,7890361,23.060307690509173,0.0,0.0,UniProt Subcellular
GO:0044231,host cell presynaptic membrane,3,342162,3,7890361,23.060307690509173,8.154569975913351e-05,0.00010775681753885499,UniProt Subcellular
GO:0030115,S-layer,3,342162,3,7890361,23.060307690509173,8.154569975913351e-05,0.00010775681753885499,UniProt Subcellular
GO:0044161,host cell cytoplasmic vesicle,3,342162,3,7890361,23.060307690509173,8.154569975913351e-05,0.00010775681753885499,UniProt Subcellular
GO:0044164,host cell cytosol,5,342162,5,7890361,23.060307690509173,1.53342439820799e-07,2.364029280570651e-07,UniProt Subcellular
GO:0030313,cell envelope,6680,342162,6690,7890361,23.025837873333526,0.0,0.0,UniProt Subcellular
GO:0031470,carboxysome,320,342162,328,7890361,22.497861161472365,0.0,0.0,UniProt Subcellular
GO:0012505,endomembrane system,3383,342162,3693,7890361,21.12456564229422,0.0,0.0,UniProt Subcellular
GO:0033644,host cell membrane,18,342162,20,7890361,20.754276921458256,5.13526545317954e-23,9.047848655602047e-23,UniProt Subcellular
GO:0009579,thylakoid,26,342162,30,7890361,19.985599998441284,8.488968144162597e-32,1.744954562966756e-31,UniProt Subcellular
GO:0042995,cell projection,4,342162,5,7890361,18.44824615240734,1.7067447189339938e-05,2.525982184022311e-05,UniProt Subcellular
GO:0031411,gas vesicle,120,342162,183,7890361,15.121513239678148,1.6064285557006065e-115,3.496344503583673e-115,UniProt Subcellular
GO:0009279,cell outer membrane,407,342162,638,7890361,14.710885940497231,0.0,0.0,UniProt Subcellular
GO:0009425,bacterial-type flagellum basal body,3804,342162,6156,7890361,14.249741789262005,0.0,0.0,UniProt Subcellular
GO:0009295,nucleoid,1600,342162,2662,7890361,13.860440384979219,0.0,0.0,UniProt Subcellular
GO:0005576,extracellular region,3556,342162,6325,7890361,12.96481488497243,0.0,0.0,UniProt Subcellular
GO:0005886,plasma membrane,148220,342162,272858,7890361,12.526657843593627,0.0,0.0,UniProt Subcellular
GO:0140737,encapsulin nanocompartment,192,342162,376,7890361,11.775476267494046,3.552399458229145e-154,8.214923747154898e-154,UniProt Subcellular
GO:0005856,cytoskeleton,5,342162,12,7890361,9.608461537712156,9.394348235332482e-05,0.00011985892576113857,UniProt Subcellular
GO:0009986,cell surface,500,342162,1245,7890361,9.26116774719244,0.0,0.0,UniProt Subcellular
GO:0042597,periplasmic space,1399,342162,3568,7890361,9.041863917887426,0.0,0.0,UniProt Subcellular
GO:0005737,cytoplasm,119664,342162,311999,7890361,8.844543282116577,0.0,0.0,UniProt Subcellular
GO:0031469,bacterial microcompartment,1963,342162,7043,7890361,6.427287235051755,0.0,0.0,UniProt Subcellular
GO:0009288,bacterial-type flagellum,1668,342162,6230,7890361,6.174092010877898,0.0,0.0,UniProt Subcellular
GO:0016020,membrane,47802,342162,211979,7890361,5.200179396174713,0.0,0.0,UniProt Subcellular
GO:0005764,lysosome,45,342162,291,7890361,3.566026962449872,1.9575881437683728e-13,3.292307332701354e-13,UniProt Subcellular
